case_no,complaint_id,direction,official_issue,my_issue,notes,primary_grievance,decisive_signal,separable,rule_note
2,9952522,ACCURACY -> INVESTIGATION,Incorrect information on your report,Problem with a company's investigation into an existing problem,"Two grievances present: bureaus not responding to repeated dispute letters, and information being falsely reported. Chose the investigation issue because the non-response is what prompted the complaint. Incorrect information is defensible if you weight the stated reason for filing.",INVESTIGATION,I have mailed off letters to the credit bureaus continuously and thus far I have not gotten a response.,NO,Contains both inaccurate reporting and failure to respond; chose the latter because it motivated the complaint.
6,10812654,ACCURACY -> INVESTIGATION,Incorrect information on your report,Problem with a company's investigation into an existing problem,Repeated removal letters and failure to resolve the dispute are the primary grievance.,INVESTIGATION,I have sent removal letters and multiple documents many times over the course of a year.,NO,Repeated unsuccessful disputes outweigh the underlying accuracy issue.
10,8753112,ACCURACY -> INVESTIGATION,Incorrect information on your report,Problem with a company's investigation into an existing problem,,INVESTIGATION,Failure to Conduct Reasonable Investigation.,YES,The complaint expressly challenges how the dispute was investigated.
47,11745965,ACCURACY -> INVESTIGATION,Incorrect information on your report,Problem with a company's investigation into an existing problem,Focus is repeated refusal to delete disputed accounts after proof was provided.,INVESTIGATION,I have provided proof that these accounts do not belong to me and they refuse to delete.,YES,Focus is refusal to act after evidence was provided.
58,17212981,ACCURACY -> INVESTIGATION,Incorrect information on your report,Problem with a company's investigation into an existing problem,,INVESTIGATION,I require a comprehensive investigation and the immediate correction or deletion of all errors.,NO,Seeks both correction and investigation with equal emphasis
66,10399080,ACCURACY -> INVESTIGATION,Incorrect information on your report,Problem with a company's investigation into an existing problem,Repeated disputes with no meaningful investigation are the primary issue.,INVESTIGATION,I have requested proof... and it was never provided.,NO,Accuracy and failure to substantiate are intertwined
76,13266601,ACCURACY -> INVESTIGATION,Incorrect information on your report,Problem with a company's investigation into an existing problem,Consumer emphasizes bureaus' failure to respond to dispute letters.,INVESTIGATION,"""This is a violation... accounts are reported without my written consent.""",NO,"Complaint blends privacy, accuracy, and investigation; difficult to separate cleanly."
12,10024363,ACCURACY -> PERMISSIBLE-PURPOSE,Incorrect information on your report,Improper use of your report,Complaint is based on lack of permissible purpose/consent under FCRA §1681b.,PERMISSIBLE-PURPOSE,"""I never gave any written consent to report anything on my consumer reports.""",YES,Lack of consent is the decisive theory despite references to inaccurate information.
30,9076489,ACCURACY -> PERMISSIBLE-PURPOSE,Incorrect information on your report,Improper use of your report,Unauthorized inquiries are a permissible-purpose issue.,PERMISSIBLE-PURPOSE,"""there are a series of unauthorized inquiries""",YES,Unauthorized inquiries are a classic permissible-purpose issue.
40,8631653,ACCURACY -> PERMISSIBLE-PURPOSE,Incorrect information on your report,Improper use of your report,Disputes an unauthorized/inaccurate inquiry rather than account data.,PERMISSIBLE-PURPOSE,"""I am writing to formally dispute an inquiry listed on my credit report.""",YES,The complaint targets an unauthorized inquiry rather than inaccurate account information.
50,7847537,ACCURACY -> PERMISSIBLE-PURPOSE,Incorrect information on your report,Improper use of your report,Unauthorized credit inquiries.,PERMISSIBLE-PURPOSE,"""I did not authorize these investigations.""",YES,"The complaint is about unauthorized inquiries, not inaccurate account data."
